fpts,player,team,bye,pos,adp
259.8,Justin Jefferson,MIN,13,WR,1
271.2,Christian McCaffrey,SF,9,RB,2
254.6,Ja'Marr Chase,CIN,7,WR,3
262,Austin Ekeler,LAC,5,RB,4
234.5,Travis Kelce,KC,10,TE,5.3
247.4,Tyreek Hill,MIA,10,WR,6
248.8,Cooper Kupp,LAR,10,WR,7
233.1,Saquon Barkley,NYG,13,RB,8.7
233,Bijan Robinson,ATL,11,RB,8.7
234.1,Nick Chubb,CLE,5,RB,10
225.8,Stefon Diggs,BUF,13,WR,11
231.5,CeeDee Lamb,DAL,7,WR,13.3
207.7,A.J. Brown,PHI,10,WR,14
383.7,Patrick Mahomes II,KC,10,QB,14.3
235.5,Derrick Henry,TEN,7,RB,16.7
217.2,Jonathan Taylor,IND,11,RB,17
233.5,Tony Pollard,DAL,7,RB,17.3
224.8,Davante Adams,LV,13,WR,18
207.6,Amon-Ra St. Brown,DET,9,WR,18.7
192.7,Garrett Wilson,NYJ,7,WR,19.3
380.8,Josh Allen,BUF,13,QB,20
376.3,Jalen Hurts,PHI,10,QB,21.7
233.3,Josh Jacobs,LV,13,RB,22
197.4,Jaylen Waddle,MIA,10,WR,24
202.2,Najee Harris,PIT,6,RB,25.7
195.3,Rhamondre Stevenson,NE,11,RB,26.7
183.3,DeVonta Smith,PHI,10,WR,27.3
187,Chris Olave,NO,11,WR,27.3
165.8,Mark Andrews,BAL,13,TE,28.7
193.9,Travis Etienne Jr.,JAC,9,RB,29
188,Tee Higgins,CIN,7,WR,32
350.9,Lamar Jackson,BAL,13,QB,34
184,Jahmyr Gibbs,DET,9,RB,34.7
175.9,Breece Hall,NYJ,7,RB,35
346.1,Joe Burrow,CIN,7,QB,35.7
185,DK Metcalf,SEA,5,WR,36
213.4,Joe Mixon,CIN,7,RB,36.3
207.9,Aaron Jones,GB,6,RB,39.3
185,Deebo Samuel,SF,9,WR,39.3
186.6,Kenneth Walker III,SEA,5,RB,39.3
181.5,Calvin Ridley,JAC,9,WR,40
182,Amari Cooper,CLE,5,WR,42.3
157.1,T.J. Hockenson,MIN,13,TE,43
182.1,Dameon Pierce,HOU,7,RB,44.3
177.6,Keenan Allen,LAC,5,WR,44.3
326.5,Justin Fields,CHI,13,QB,45
321.5,Justin Herbert,LAC,5,QB,45.3
143.3,George Kittle,SF,9,TE,49.3
175,Miles Sanders,CAR,7,RB,49.3
172.5,Terry McLaurin,WAS,14,WR,50.7
168.7,DeAndre Hopkins,TEN,7,WR,51
167.6,J.K. Dobbins,BAL,13,RB,52.3
169.3,DJ Moore,CHI,13,WR,54.3
300.6,Trevor Lawrence,JAC,9,QB,55
170.1,Cam Akers,LAR,10,RB,56.7
191.4,Alexander Mattison,MIN,13,RB,57.3
176.4,Jerry Jeudy,DEN,9,WR,57.7
188.5,James Conner,ARI,14,RB,60.3
160.8,Drake London,ATL,11,WR,62.3
141.6,Darren Waller,NYG,13,TE,62.7
129.6,Dallas Goedert,PHI,10,TE,63.3
179,Christian Watson,GB,6,WR,63.7
132.6,Kyle Pitts,ATL,11,TE,63.7
166.6,Chris Godwin,TB,5,WR,66.3
161.6,Javonte Williams,DEN,9,RB,67
162.3,Alvin Kamara,NO,11,RB,67
158.6,Tyler Lockett,SEA,5,WR,67.3
146.4,D'Andre Swift,PHI,10,RB,67.7
155.5,Brandon Aiyuk,SF,9,WR,67.7
137.5,Dalvin Cook,NYJ,7,RB,68
170.9,Mike Williams,LAC,5,WR,69.3
175.6,Rachaad White,TB,5,RB,70
167.4,Isiah Pacheco,KC,10,RB,72
165.9,Christian Kirk,JAC,9,WR,74.3
164.6,David Montgomery,DET,9,RB,75.7
160.5,James Cook,BUF,13,RB,77
149.4,Michael Pittman Jr.,IND,11,WR,77
301.2,Dak Prescott,DAL,7,QB,78.7
169.9,Mike Evans,TB,5,WR,81.3
118.7,Evan Engram,JAC,9,TE,81.7
158.6,Diontae Johnson,PIT,6,WR,82.3
311.2,Deshaun Watson,CLE,5,QB,83.7
145.9,George Pickens,PIT,6,WR,84.3
159.5,Marquise Brown,ARI,14,WR,85
117.4,Pat Freiermuth,PIT,6,TE,86.3
142.1,AJ Dillon,GB,6,RB,89.3
280.9,Tua Tagovailoa,MIA,10,QB,91
136.7,Jaxon Smith-Njigba,SEA,5,WR,92.3
141.1,Jordan Addison,MIN,13,WR,94
136,Brian Robinson Jr.,WAS,14,RB,94.3
148.2,Jahan Dotson,WAS,14,WR,95
109.8,David Njoku,CLE,5,TE,95.7
136.4,Antonio Gibson,WAS,14,RB,97
137.6,Khalil Herbert,CHI,13,RB,98
115.9,Rashaad Penny,PHI,10,RB,98.7
117.6,Jamaal Williams,NO,11,RB,101
142.9,Brandin Cooks,DAL,7,WR,101.3
145.4,Gabe Davis,BUF,13,WR,101.3
282.2,Aaron Rodgers,NYJ,7,QB,104.7
138,Treylon Burks,TEN,7,WR,106
299.5,Kirk Cousins,MIN,13,QB,106.7
137.6,Michael Thomas,NO,11,WR,106.7
296.8,Daniel Jones,NYG,13,QB,111
108.3,Zach Charbonnet,SEA,5,RB,111
132.8,Samaje Perine,DEN,9,RB,111.3
108.2,San Francisco 49ers,DST,9,DST,113
126.2,Kadarius Toney,KC,10,WR,113.3
122.8,Odell Beckham Jr.,BAL,13,WR,114
269.6,Anthony Richardson,IND,11,QB,114.3
99.3,Damien Harris,BUF,13,RB,114.7
296.8,Geno Smith,SEA,5,QB,116
105.6,Elijah Moore,CLE,5,WR,117
133.6,Courtland Sutton,DEN,9,WR,121
114.5,Philadelphia Eagles,DST,10,DST,121.3
115.8,Dallas Cowboys,DST,7,DST,123
108.6,Elijah Mitchell,SF,9,RB,123.7
98,De'Von Achane,MIA,10,RB,124
129.3,Zay Flowers,BAL,13,WR,125
138.8,JuJu Smith-Schuster,NE,11,WR,126
124.3,Justin Tucker,BAL,13,K,126.3
101.8,Jerick McKinnon,KC,10,RB,127.7
276.3,Jared Goff,DET,9,QB,129.7
118.3,Quentin Johnston,LAC,5,WR,130
99.4,Cole Kmet,CHI,13,TE,130.7
109.5,Dalton Schultz,HOU,7,TE,131.7
106.3,Chigoziem Okonkwo,TEN,7,TE,131.7
101.2,Ezekiel Elliott,NE,11,RB,132
106.2,Buffalo Bills,DST,13,DST,134
118.2,Allen Lazard,NYJ,7,WR,135
93.6,Dalton Kincaid,BUF,13,TE,135.7
101.3,Greg Dulcich,DEN,9,TE,136.3
112.9,Skyy Moore,KC,10,WR,137
98.3,Jameson Williams,DET,9,WR,137.3
122.5,Daniel Carlson,LV,13,K,143.7
97.5,Rashod Bateman,BAL,13,WR,144.3
116.7,Adam Thielen,CAR,7,WR,144.3
105.4,New York Jets,DST,7,DST,144.7
106.3,Tyler Allgeier,ATL,11,RB,145
110.7,Raheem Mostert,MIA,10,RB,146.3
123.1,Evan McPherson,CIN,7,K,147
101.2,Devin Singletary,HOU,7,RB,147.3
102.9,Baltimore Ravens,DST,13,DST,147.7
111.3,New England Patriots,DST,11,DST,149
123,Tyler Bass,BUF,13,K,149.3
124.1,Harrison Butker,KC,10,K,150.3
94.1,D'Onta Foreman,CHI,13,RB,151.3
114.7,Romeo Doubs,GB,6,WR,152.3
279.6,Russell Wilson,DEN,9,QB,154
238.9,Bryce Young,CAR,7,QB,154.3
84.7,Tank Bigsby,JAC,9,RB,155.3
93.3,Kenneth Gainwell,PHI,10,RB,156.7
109.5,Tyler Higbee,LAR,10,TE,158.3
250.6,Kenny Pickett,PIT,6,QB,159.7
124.1,Tyler Boyd,CIN,7,WR,160
98,Jaylen Warren,PIT,6,RB,161.3
65.9,Jalin Hyatt,NYG,13,WR,162
128.7,Jakobi Meyers,LV,13,WR,162.3
75.5,Roschon Johnson,CHI,13,RB,162.3
58,Kendre Miller,NO,11,RB,165
239.3,Brock Purdy,SF,9,QB,165.7
87.8,Sam LaPorta,DET,9,TE,166.7
0,Kareem Hunt,,,RB,167.7
120.9,Younghoe Koo,ATL,11,K,169.3
250.8,Jordan Love,GB,6,QB,169.7
47.1,Deuce Vaughn,DAL,7,RB,171.3
96.9,Chuba Hubbard,CAR,7,RB,171.3
252.4,Derek Carr,NO,11,QB,171.7
117.9,Darnell Mooney,CHI,13,WR,171.7
126.5,Nico Collins,HOU,7,WR,172
120.9,Jeff Wilson Jr.,MIA,10,RB,172
104.9,Donovan Peoples-Jones,CLE,5,WR,172.3
107.2,Miami Dolphins,DST,10,DST,174
68.4,Clyde Edwards-Helaire,KC,10,RB,175
75.3,Cordarrelle Patterson,ATL,11,RB,175
220.5,C.J. Stroud,HOU,7,QB,176.3
