fpts,player,team,bye,pos,adp
315.2,Justin Jefferson,MIN,13,WR,1
308.6,Christian McCaffrey,SF,9,RB,2.5
307.6,Ja'Marr Chase,CIN,7,WR,3
300.8,Austin Ekeler,LAC,5,RB,3.5
287.3,Travis Kelce,KC,10,TE,6
302.8,Cooper Kupp,LAR,10,WR,6.5
300.1,Tyreek Hill,MIA,10,WR,6.5
259.3,Saquon Barkley,NYG,13,RB,7.8
253.4,Bijan Robinson,ATL,11,RB,8.5
274.4,Stefon Diggs,BUF,13,WR,10.8
281,CeeDee Lamb,DAL,7,WR,13.3
271.6,Davante Adams,LV,13,WR,13.5
248.2,Nick Chubb,CLE,5,RB,14
246.7,A.J. Brown,PHI,10,WR,14
383.7,Patrick Mahomes II,KC,10,QB,15.3
251.5,Derrick Henry,TEN,7,RB,15.8
256.2,Tony Pollard,DAL,7,RB,17
234.4,Garrett Wilson,NYJ,7,WR,18.5
258.1,Amon-Ra St. Brown,DET,9,WR,18.8
233.5,Jonathan Taylor,IND,11,RB,19.5
253.2,Josh Jacobs,LV,13,RB,20.3
380.8,Josh Allen,BUF,13,QB,21
376.3,Jalen Hurts,PHI,10,QB,22.5
237.1,Jaylen Waddle,MIA,10,WR,24
224.8,DeVonta Smith,PHI,10,WR,27.3
203.2,Mark Andrews,BAL,13,TE,27.5
221.9,Najee Harris,PIT,6,RB,28.3
228,Chris Olave,NO,11,WR,28.3
220.6,Rhamondre Stevenson,NE,11,RB,29.8
228.3,Tee Higgins,CIN,7,WR,30
211.5,Travis Etienne Jr.,JAC,9,RB,31
226.2,DK Metcalf,SEA,5,WR,31.5
238.4,Joe Mixon,CIN,7,RB,34.5
206.3,Jahmyr Gibbs,DET,9,RB,35
346.1,Joe Burrow,CIN,7,QB,35.8
350.9,Lamar Jackson,BAL,13,QB,36
221.8,Calvin Ridley,JAC,9,WR,37.5
232.8,Aaron Jones,GB,6,RB,37.8
219.5,Deebo Samuel,SF,9,WR,37.8
193.5,Breece Hall,NYJ,7,RB,38.3
218.7,Amari Cooper,CLE,5,WR,42.5
197.5,T.J. Hockenson,MIN,13,TE,44
222.4,Keenan Allen,LAC,5,WR,44.8
326.5,Justin Fields,CHI,13,QB,45.5
199.6,Kenneth Walker III,SEA,5,RB,46
321.5,Justin Herbert,LAC,5,QB,46.3
198.4,Dameon Pierce,HOU,7,RB,48.3
189.8,Miles Sanders,CAR,7,RB,48.5
173.5,George Kittle,SF,9,TE,49
207.7,DeAndre Hopkins,TEN,7,WR,50.5
209.4,Terry McLaurin,WAS,14,WR,50.8
202.7,DJ Moore,CHI,13,WR,51.5
212.8,Jerry Jeudy,DEN,9,WR,53
174.5,Darren Waller,NYG,13,TE,55.5
213.6,Christian Watson,GB,6,WR,56.5
300.6,Trevor Lawrence,JAC,9,QB,57.8
183.6,Alvin Kamara,NO,11,RB,61.3
162.4,Kyle Pitts,ATL,11,TE,62.3
206.4,Mike Williams,LAC,5,WR,63
161.7,Dallas Goedert,PHI,10,TE,63.8
209,James Conner,ARI,14,RB,64
182.6,Cam Akers,LAR,10,RB,64.3
199.7,Rachaad White,TB,5,RB,65.5
151.2,Dalvin Cook,NYJ,7,RB,65.8
179.6,J.K. Dobbins,BAL,13,RB,66.5
208.6,Alexander Mattison,MIN,13,RB,67.3
198.7,Drake London,ATL,11,WR,67.8
211.5,Chris Godwin,TB,5,WR,69.3
166.4,D'Andre Swift,PHI,10,RB,69.5
311.2,Deshaun Watson,CLE,5,QB,74
187.8,Brandon Aiyuk,SF,9,WR,74
195.8,Tyler Lockett,SEA,5,WR,74.3
180.1,Javonte Williams,DEN,9,RB,74.5
179.5,Isiah Pacheco,KC,10,RB,74.5
205.6,Mike Evans,TB,5,WR,74.8
203,Christian Kirk,JAC,9,WR,75.5
150,Evan Engram,JAC,9,TE,77
178.2,James Cook,BUF,13,RB,78.5
198.8,Diontae Johnson,PIT,6,WR,79.3
187.3,Michael Pittman Jr.,IND,11,WR,80.5
174.1,George Pickens,PIT,6,WR,84
136.2,David Njoku,CLE,5,TE,85.5
181.4,David Montgomery,DET,9,RB,87.3
301.2,Dak Prescott,DAL,7,QB,87.3
198.4,Marquise Brown,ARI,14,WR,88.3
108.2,San Francisco 49ers,DST,9,DST,89.3
280.9,Tua Tagovailoa,MIA,10,QB,92.5
166.5,Jaxon Smith-Njigba,SEA,5,WR,94.8
154.6,AJ Dillon,GB,6,RB,95
124.3,Justin Tucker,BAL,13,K,95.8
147.2,Pat Freiermuth,PIT,6,TE,96
171.6,Jordan Addison,MIN,13,WR,96.8
173.9,Brandin Cooks,DAL,7,WR,96.8
177.7,Jahan Dotson,WAS,14,WR,97
167,Treylon Burks,TEN,7,WR,100
171.3,Michael Thomas,NO,11,WR,103
147.7,Khalil Herbert,CHI,13,RB,103.3
282.2,Aaron Rodgers,NYJ,7,QB,104
124.6,Jamaal Williams,NO,11,RB,104.3
148.4,Odell Beckham Jr.,BAL,13,WR,104.3
299.5,Kirk Cousins,MIN,13,QB,107
175,JuJu Smith-Schuster,NE,11,WR,107.8
162.7,Courtland Sutton,DEN,9,WR,108.3
171,Gabe Davis,BUF,13,WR,108.8
106.2,Buffalo Bills,DST,13,DST,109.3
144.1,Brian Robinson Jr.,WAS,14,RB,109.3
114.5,Philadelphia Eagles,DST,10,DST,112.5
157.7,Antonio Gibson,WAS,14,RB,113
122.5,Daniel Carlson,LV,13,K,115
152.1,Kadarius Toney,KC,10,WR,115
120.1,Zach Charbonnet,SEA,5,RB,115.3
147.2,Samaje Perine,DEN,9,RB,116.5
137.5,Dalton Schultz,HOU,7,TE,116.5
269.6,Anthony Richardson,IND,11,QB,119
296.8,Daniel Jones,NYG,13,QB,119.8
296.8,Geno Smith,SEA,5,QB,119.8
156.1,Zay Flowers,BAL,13,WR,120.3
142.8,Quentin Johnston,LAC,5,WR,120.8
115.8,Dallas Cowboys,DST,7,DST,121.5
121,Jerick McKinnon,KC,10,RB,123.3
111.3,New England Patriots,DST,11,DST,124
105.4,New York Jets,DST,7,DST,126.3
